Dataset,Modelo,Acurácia Treino,Acurácia Val,Acurácia Teste,AUC-ROC (Teste),Tempo Médio/Época (s),Tempo Total (s)
BACE_C,Baseline (Do Zero),0.9679,0.6242,0.7218,0.8205,10.06,502.94
BACE_C,Fine-tuning (MobileNetV2),0.9621,0.7394,0.8346,0.9203,6.87,213.01
