epoch,accuracy,auc,loss,val_accuracy,val_auc,val_loss
0,0.6090534925460815,0.6663110256195068,3.223545551300049,0.46060606837272644,0.6215555667877197,2.7766010761260986
1,0.7711934447288513,0.8661738634109497,2.446089744567871,0.5454545617103577,0.6354814767837524,2.508223056793213
2,0.8427983522415161,0.9145829677581787,2.108478307723999,0.5454545617103577,0.6231851577758789,2.3360233306884766
3,0.8707818984985352,0.9390736818313599,1.884142279624939,0.5454545617103577,0.6173332929611206,2.240549087524414
4,0.9020575881004333,0.9608237743377686,1.6932034492492676,0.5454545617103577,0.6498518586158752,2.1003031730651855
5,0.9078189134597778,0.9664126038551331,1.5595674514770508,0.5454545617103577,0.6260740756988525,2.035794258117676
6,0.9399176836013794,0.9752053022384644,1.4208921194076538,0.5454545617103577,0.6657777428627014,1.928924322128296
7,0.9448559880256653,0.9819008111953735,1.306427240371704,0.5454545617103577,0.6701481342315674,1.8334612846374512
8,0.9530864357948303,0.9850502014160156,1.209989070892334,0.5454545617103577,0.6810371279716492,1.790208339691162
9,0.9473251104354858,0.985758900642395,1.1405129432678223,0.5454545617103577,0.6888888478279114,1.7830153703689575
10,0.962139904499054,0.9869799017906189,1.060149073600769,0.5636363625526428,0.7211110591888428,1.6355481147766113
11,0.9530864357948303,0.9873042702674866,1.0039372444152832,0.5636363625526428,0.7131111025810242,1.6595321893692017
12,0.9473251104354858,0.9868450164794922,0.9477192163467407,0.5454545617103577,0.7115554809570312,1.8958494663238525
13,0.9629629850387573,0.9922715425491333,0.873759388923645,0.6242424249649048,0.7361481785774231,1.48000168800354
14,0.9662551283836365,0.9884231686592102,0.836491584777832,0.6060606241226196,0.7309629321098328,1.5133248567581177
15,0.962139904499054,0.9897900223731995,0.7931581139564514,0.6424242258071899,0.7344444394111633,1.3975856304168701
16,0.9662551283836365,0.9908474087715149,0.7461140751838684,0.6666666865348816,0.7437037229537964,1.2861528396606445
17,0.9629629850387573,0.992706298828125,0.7061237096786499,0.6666666865348816,0.7337037324905396,1.253922939300537
18,0.9646090269088745,0.9927513599395752,0.6737420558929443,0.6363636255264282,0.7345184683799744,1.3051578998565674
19,0.9613168835639954,0.9877620935440063,0.6642413139343262,0.6060606241226196,0.7389630079269409,1.4469205141067505
20,0.968724250793457,0.9927634596824646,0.6175283193588257,0.6484848260879517,0.7396295666694641,1.247497797012329
21,0.9637860059738159,0.9933372735977173,0.5833313465118408,0.6606060862541199,0.7480000257492065,1.1972728967666626
22,0.9654321074485779,0.9905967116355896,0.5767428278923035,0.6303030252456665,0.7477036714553833,1.179108738899231
23,0.9629629850387573,0.9925210475921631,0.5505726933479309,0.6848484873771667,0.7497037053108215,1.1953517198562622
24,0.9670782089233398,0.9910995960235596,0.5299522876739502,0.6303030252456665,0.7352592945098877,1.3023571968078613
25,0.9728395342826843,0.9937284588813782,0.5018107891082764,0.678787887096405,0.746222198009491,1.1483440399169922
26,0.9728395342826843,0.9933508634567261,0.4853920042514801,0.6666666865348816,0.750963032245636,1.0825949907302856
27,0.970370352268219,0.9938116073608398,0.46973559260368347,0.6666666865348816,0.7488148212432861,1.0729273557662964
28,0.9654321074485779,0.9925073981285095,0.4642292261123657,0.6545454263687134,0.7558518052101135,1.0991166830062866
29,0.9695473313331604,0.9925251007080078,0.45522233843803406,0.6545454263687134,0.7531852126121521,1.177446722984314
30,0.9728395342826843,0.9929283857345581,0.4354594647884369,0.6484848260879517,0.7505925297737122,1.0598794221878052
31,0.9728395342826843,0.9947342276573181,0.41823428869247437,0.6545454263687134,0.7563703656196594,1.021949052810669
32,0.9629629850387573,0.9909605979919434,0.429084837436676,0.6727272868156433,0.7551111578941345,1.0579534769058228
33,0.9670782089233398,0.9914649128913879,0.42072156071662903,0.678787887096405,0.7688888907432556,0.993789553642273
34,0.9711934328079224,0.9962441921234131,0.3856930136680603,0.6606060862541199,0.752074122428894,0.9580960273742676
35,0.9646090269088745,0.9935308694839478,0.3930741846561432,0.6545454263687134,0.7474814653396606,0.9958922266960144
36,0.970370352268219,0.9936274886131287,0.38039684295654297,0.6666666865348816,0.758814811706543,0.9736405611038208
37,0.970370352268219,0.9945598244667053,0.36806920170783997,0.6606060862541199,0.7511851191520691,1.1142879724502563
38,0.9711934328079224,0.9945706129074097,0.35966619849205017,0.6484848260879517,0.7673333287239075,0.9710568785667419
39,0.9753086566925049,0.9954087734222412,0.34157055616378784,0.6606060862541199,0.7693334817886353,1.016889214515686
40,0.970370352268219,0.9941917657852173,0.3495010435581207,0.6969696879386902,0.7622222304344177,0.9448503851890564
41,0.9736625552177429,0.9915834069252014,0.3548915386199951,0.6848484873771667,0.7645925879478455,0.9213746190071106
42,0.9736625552177429,0.9936861395835876,0.34097784757614136,0.6848484873771667,0.7644444108009338,0.903831422328949
43,0.9777777791023254,0.9937012791633606,0.3312535285949707,0.7030302882194519,0.7673333287239075,0.9089523553848267
44,0.9695473313331604,0.9939682483673096,0.33321622014045715,0.6727272868156433,0.7602221965789795,0.9628404378890991
45,0.968724250793457,0.993450403213501,0.33105385303497314,0.6666666865348816,0.765925943851471,0.9147181510925293
46,0.9670782089233398,0.9926696419715881,0.3356170356273651,0.6303030252456665,0.7492592334747314,1.0415858030319214
47,0.9711934328079224,0.9951456785202026,0.3213556110858917,0.6606060862541199,0.7546666264533997,0.9215730428695679
48,0.972016453742981,0.9943826794624329,0.32204559445381165,0.6727272868156433,0.7641480565071106,0.9469549059867859
49,0.9679012298583984,0.9954156279563904,0.31709417700767517,0.6242424249649048,0.7606666684150696,1.0716798305511475
